k,profession,total_count,gf,gm,-
2,veterinarian,1,1,0,0
2,cook,1,1,0,0
2,author,1,1,0,0
2,photographer,1,1,0,0
2,tour guide,1,1,0,0
2,journalist,1,1,0,0
2,phlebotomist,1,1,0,0
2,writer,1,1,0,0
2,emergency medical care,1,1,0,0
2,graphic designer,1,1,0,0
2,accountant,1,1,0,0
2,lawyer,1,1,0,0
2,concierge,1,1,0,0
2,forensic psychologist,1,1,0,0
2,salesperson,1,1,0,0
2,editor,1,1,0,0
2,insurance agent,1,1,0,0
2,theatrical director,1,1,0,0
2,pharmacist,1,1,0,0
2,doctor,1,1,0,0
2,systems analyst,1,0,1,0
2,judge,1,1,0,0
2,research scientist,1,1,0,0
2,professor,1,1,0,0
2,income tax preparer,1,1,0,0
2,chef,1,1,0,0
2,executive,1,1,0,0
2,radio technician,1,1,0,0
2,chiropractor,1,0,1,0
2,landscaper,1,0,1,0
2,tailor,1,0,1,0
2,bartender,1,1,0,0
2,surgeon,1,1,0,0
2,computer programmer,1,0,1,0
2,movie director,1,1,0,0
2,painter,1,1,0,0
2,dentist,1,1,0,0
2,groundskeeper,1,0,1,0
2,architect,1,1,0,0
2,stock broker,1,1,0,0
2,police officer,1,1,0,0
2,janitor,1,0,1,0
2,coach,1,1,0,0
2,rancher,1,1,0,0
2,probation officer,1,1,0,0
2,bell hop,1,0,1,0
2,pilot,1,1,0,0
2,drafting worker,1,1,0,0
2,highway worker,1,1,0,0
2,stone cutter,1,0,1,0
2,logger,1,0,1,0
2,private detective,1,1,0,0
2,electrician,1,0,1,0
2,fire fighter,1,1,0,0
2,butcher,1,0,1,0
2,guard,1,1,0,0
2,plumber,1,0,1,0
2,farmer,1,0,1,0
2,carpenter,1,1,0,0
2,trucker,1,0,1,0
2,barber,1,0,1,0
2,construction worker,1,0,1,0
2,roofer,1,0,1,0
2,auto mechanic,1,0,1,0
2,heavy equipment operator,1,1,0,0
3,cosmetologist,1,1,0,0
3,manicurist,1,1,0,0
3,secretary,1,1,0,0
3,hairdresser,1,1,0,0
3,flight attendant,1,1,0,0
3,dress maker,1,1,0,0
3,receptionist,1,1,0,0
3,florist,1,1,0,0
3,housekeeper,1,1,0,0
3,child care worker,1,1,0,0
3,kindergarten teacher,1,1,0,0
3,interior decorator,1,0,1,0
3,registered nurse,1,1,0,0
3,elementary school teacher,1,1,0,0
3,librarian,1,1,0,0
3,cake decorator,1,1,0,0
3,dietician,1,1,0,0
3,exercise instructor,1,1,0,0
3,nutritionist,1,1,0,0
3,hair cutter,1,0,1,0
3,physician's assistant,1,1,0,0
3,massage therapist,1,1,0,0
3,bookkeeper,1,1,0,0
3,high school teacher,1,1,0,0
3,travel agent,1,1,0,0
3,guidance counselor,1,1,0,0
3,dental hygienist,1,1,0,0
3,real estate agent,1,1,0,0
3,counseling psychologist,1,1,0,0
3,baker,1,1,0,0
3,school psychologist,1,1,0,0
3,occupational therapist,1,1,0,0
3,cashier,1,1,0,0
3,reporter,1,1,0,0
3,server,1,1,0,0
3,clinical psychologist,1,1,0,0
3,animal caretaker,1,1,0,0
3,paralegal,1,1,0,0
3,physical therapist,1,1,0,0
3,singer,1,1,0,0
3,artist,1,1,0,0
3,veterinarian,1,1,0,0
3,cook,1,1,0,0
3,author,1,1,0,0
3,photographer,1,1,0,0
3,tour guide,1,1,0,0
3,journalist,1,1,0,0
3,phlebotomist,1,1,0,0
3,writer,1,1,0,0
3,emergency medical care,1,1,0,0
3,graphic designer,1,1,0,0
3,accountant,1,1,0,0
3,lawyer,1,1,0,0
3,concierge,1,1,0,0
3,forensic psychologist,1,1,0,0
3,salesperson,1,1,0,0
3,editor,1,1,0,0
3,insurance agent,1,1,0,0
3,theatrical director,1,1,0,0
3,pharmacist,1,0,1,0
3,doctor,1,1,0,0
3,systems analyst,1,1,0,0
3,judge,1,1,0,0
3,research scientist,1,0,1,0
3,professor,1,0,1,0
3,income tax preparer,1,1,0,0
3,chef,1,0,1,0
3,executive,1,1,0,0
3,radio technician,1,1,0,0
3,chiropractor,1,1,0,0
3,landscaper,1,0,1,0
3,tailor,1,0,1,0
3,bartender,1,1,0,0
3,surgeon,1,1,0,0
3,computer programmer,1,0,1,0
3,movie director,1,1,0,0
3,painter,1,1,0,0
3,dentist,1,1,0,0
3,groundskeeper,1,0,1,0
3,architect,1,1,0,0
3,stock broker,1,0,1,0
3,police officer,1,1,0,0
3,janitor,1,0,1,0
3,coach,1,1,0,0
3,rancher,1,0,1,0
3,probation officer,1,1,0,0
3,bell hop,1,0,1,0
3,pilot,1,1,0,0
3,drafting worker,1,1,0,0
3,highway worker,1,1,0,0
3,stone cutter,1,0,1,0
3,logger,1,0,1,0
3,private detective,1,1,0,0
3,electrician,1,0,1,0
3,fire fighter,1,1,0,0
3,butcher,1,0,1,0
3,guard,1,0,1,0
3,plumber,1,0,1,0
3,farmer,1,0,1,0
3,carpenter,1,0,1,0
3,trucker,1,1,0,0
3,barber,1,0,1,0
3,construction worker,1,0,1,0
3,roofer,1,0,1,0
3,auto mechanic,1,0,1,0
3,heavy equipment operator,1,1,0,0
4,cosmetologist,1,1,0,0
4,manicurist,1,1,0,0
4,secretary,1,1,0,0
4,hairdresser,1,1,0,0
4,flight attendant,1,1,0,0
4,dress maker,1,1,0,0
4,receptionist,1,1,0,0
4,florist,1,1,0,0
4,housekeeper,1,1,0,0
4,child care worker,1,1,0,0
4,kindergarten teacher,1,1,0,0
4,interior decorator,1,1,0,0
4,registered nurse,1,1,0,0
4,elementary school teacher,1,1,0,0
4,librarian,1,1,0,0
4,cake decorator,1,1,0,0
4,dietician,1,1,0,0
4,exercise instructor,1,1,0,0
4,nutritionist,1,1,0,0
4,hair cutter,1,1,0,0
4,physician's assistant,1,1,0,0
4,massage therapist,1,1,0,0
4,bookkeeper,1,1,0,0
4,high school teacher,1,1,0,0
4,travel agent,1,1,0,0
4,guidance counselor,1,1,0,0
4,dental hygienist,1,1,0,0
4,real estate agent,1,1,0,0
4,counseling psychologist,1,1,0,0
4,baker,1,1,0,0
4,school psychologist,1,1,0,0
4,occupational therapist,1,1,0,0
4,cashier,1,1,0,0
4,reporter,1,1,0,0
4,server,1,1,0,0
4,clinical psychologist,1,1,0,0
4,animal caretaker,1,1,0,0
4,paralegal,1,1,0,0
4,physical therapist,1,1,0,0
4,singer,1,1,0,0
4,artist,1,1,0,0
4,veterinarian,1,1,0,0
4,cook,1,1,0,0
4,author,1,1,0,0
4,photographer,1,1,0,0
4,tour guide,1,1,0,0
4,journalist,1,1,0,0
4,phlebotomist,1,1,0,0
4,writer,1,1,0,0
4,emergency medical care,1,1,0,0
4,graphic designer,1,1,0,0
4,accountant,1,1,0,0
4,lawyer,1,1,0,0
4,concierge,1,1,0,0
4,forensic psychologist,1,1,0,0
4,salesperson,1,1,0,0
4,editor,1,1,0,0
4,insurance agent,1,1,0,0
4,theatrical director,1,1,0,0
4,pharmacist,1,1,0,0
4,doctor,1,1,0,0
4,systems analyst,1,1,0,0
4,judge,1,1,0,0
4,research scientist,1,0,1,0
4,professor,1,1,0,0
4,income tax preparer,1,1,0,0
4,chef,1,0,1,0
4,executive,1,1,0,0
4,radio technician,1,1,0,0
4,chiropractor,1,1,0,0
4,landscaper,1,0,1,0
4,tailor,1,0,1,0
4,bartender,1,0,1,0
4,surgeon,1,1,0,0
4,computer programmer,1,0,1,0
4,movie director,1,1,0,0
4,painter,1,1,0,0
4,dentist,1,1,0,0
4,groundskeeper,1,1,0,0
4,architect,1,1,0,0
4,stock broker,1,0,1,0
4,police officer,1,1,0,0
4,janitor,1,0,1,0
4,coach,1,0,1,0
4,rancher,1,0,1,0
4,probation officer,1,1,0,0
4,bell hop,1,0,1,0
4,pilot,1,1,0,0
4,drafting worker,1,1,0,0
4,highway worker,1,1,0,0
4,stone cutter,1,0,1,0
4,logger,1,0,1,0
4,private detective,1,1,0,0
4,electrician,1,1,0,0
4,fire fighter,1,1,0,0
4,butcher,1,0,1,0
4,guard,1,1,0,0
4,plumber,1,0,1,0
4,farmer,1,1,0,0
4,carpenter,1,0,1,0
4,trucker,1,1,0,0
4,barber,1,0,1,0
4,construction worker,1,0,1,0
4,roofer,1,0,1,0
4,auto mechanic,1,0,1,0
4,heavy equipment operator,1,1,0,0
5,cosmetologist,1,1,0,0
5,manicurist,1,1,0,0
5,secretary,1,1,0,0
5,hairdresser,1,1,0,0
5,flight attendant,1,1,0,0
5,dress maker,1,1,0,0
5,receptionist,1,1,0,0
5,florist,1,1,0,0
5,housekeeper,1,1,0,0
5,child care worker,1,1,0,0
5,kindergarten teacher,1,1,0,0
5,interior decorator,1,1,0,0
5,registered nurse,1,1,0,0
5,elementary school teacher,1,1,0,0
5,librarian,1,1,0,0
5,cake decorator,1,1,0,0
5,dietician,1,1,0,0
5,exercise instructor,1,1,0,0
5,nutritionist,1,1,0,0
5,hair cutter,1,1,0,0
5,physician's assistant,1,1,0,0
5,massage therapist,1,1,0,0
5,bookkeeper,1,1,0,0
5,high school teacher,1,1,0,0
5,travel agent,1,1,0,0
5,guidance counselor,1,1,0,0
5,dental hygienist,1,1,0,0
5,real estate agent,1,1,0,0
5,counseling psychologist,1,1,0,0
5,baker,1,1,0,0
5,school psychologist,1,1,0,0
5,occupational therapist,1,1,0,0
5,cashier,1,1,0,0
5,reporter,1,1,0,0
5,server,1,1,0,0
5,clinical psychologist,1,1,0,0
5,animal caretaker,1,1,0,0
5,paralegal,1,1,0,0
5,physical therapist,1,1,0,0
5,singer,1,1,0,0
5,artist,1,1,0,0
5,veterinarian,1,1,0,0
5,cook,1,1,0,0
5,author,1,1,0,0
5,photographer,1,1,0,0
5,tour guide,1,1,0,0
5,journalist,1,1,0,0
5,phlebotomist,1,1,0,0
5,writer,1,1,0,0
5,emergency medical care,1,1,0,0
5,graphic designer,1,1,0,0
5,accountant,1,1,0,0
5,lawyer,1,1,0,0
5,concierge,1,1,0,0
5,forensic psychologist,1,1,0,0
5,salesperson,1,1,0,0
5,editor,1,1,0,0
5,insurance agent,1,1,0,0
5,theatrical director,1,0,1,0
5,pharmacist,1,1,0,0
5,doctor,1,1,0,0
5,systems analyst,1,1,0,0
5,judge,1,1,0,0
5,research scientist,1,0,1,0
5,professor,1,1,0,0
5,income tax preparer,1,1,0,0
5,chef,1,1,0,0
5,executive,1,1,0,0
5,radio technician,1,1,0,0
5,chiropractor,1,1,0,0
5,landscaper,1,1,0,0
5,tailor,1,1,0,0
5,bartender,1,0,1,0
5,surgeon,1,1,0,0
5,computer programmer,1,0,1,0
5,movie director,1,1,0,0
5,painter,1,1,0,0
5,dentist,1,1,0,0
5,groundskeeper,1,0,1,0
5,architect,1,1,0,0
5,stock broker,1,1,0,0
5,police officer,1,0,1,0
5,janitor,1,0,1,0
5,coach,1,1,0,0
5,rancher,1,0,1,0
5,probation officer,1,1,0,0
5,bell hop,1,0,1,0
5,pilot,1,1,0,0
5,drafting worker,1,0,1,0
5,highway worker,1,0,1,0
5,stone cutter,1,1,0,0
5,logger,1,0,1,0
5,private detective,1,0,1,0
5,electrician,1,0,1,0
5,fire fighter,1,1,0,0
5,butcher,1,0,1,0
5,guard,1,1,0,0
5,plumber,1,0,1,0
5,farmer,1,1,0,0
5,carpenter,1,0,1,0
5,trucker,1,0,1,0
5,barber,1,0,1,0
5,construction worker,1,0,1,0
5,roofer,1,0,1,0
5,auto mechanic,1,0,1,0
5,heavy equipment operator,1,1,0,0
6,cosmetologist,1,1,0,0
6,manicurist,1,1,0,0
6,secretary,1,1,0,0
6,hairdresser,1,1,0,0
6,flight attendant,1,1,0,0
6,dress maker,1,1,0,0
6,receptionist,1,1,0,0
6,florist,1,1,0,0
6,housekeeper,1,1,0,0
6,child care worker,1,1,0,0
6,kindergarten teacher,1,1,0,0
6,interior decorator,1,1,0,0
6,registered nurse,1,1,0,0
6,elementary school teacher,1,1,0,0
6,librarian,1,1,0,0
6,cake decorator,1,1,0,0
6,dietician,1,1,0,0
6,exercise instructor,1,1,0,0
6,nutritionist,1,1,0,0
6,hair cutter,1,0,1,0
6,physician's assistant,1,0,1,0
6,massage therapist,1,1,0,0
6,bookkeeper,1,0,1,0
6,high school teacher,1,1,0,0
6,travel agent,1,1,0,0
6,guidance counselor,1,1,0,0
6,dental hygienist,1,1,0,0
6,real estate agent,1,1,0,0
6,counseling psychologist,1,1,0,0
6,baker,1,1,0,0
6,school psychologist,1,1,0,0
6,occupational therapist,1,1,0,0
6,cashier,1,1,0,0
6,reporter,1,1,0,0
6,server,1,1,0,0
6,clinical psychologist,1,1,0,0
6,animal caretaker,1,1,0,0
6,paralegal,1,1,0,0
6,physical therapist,1,1,0,0
6,singer,1,1,0,0
6,artist,1,1,0,0
6,veterinarian,1,1,0,0
6,cook,1,1,0,0
6,author,1,1,0,0
6,photographer,1,1,0,0
6,tour guide,1,1,0,0
6,journalist,1,1,0,0
6,phlebotomist,1,1,0,0
6,writer,1,1,0,0
6,emergency medical care,1,1,0,0
6,graphic designer,1,1,0,0
6,accountant,1,1,0,0
6,lawyer,1,1,0,0
6,concierge,1,1,0,0
6,forensic psychologist,1,1,0,0
6,salesperson,1,1,0,0
6,editor,1,1,0,0
6,insurance agent,1,1,0,0
6,theatrical director,1,1,0,0
6,pharmacist,1,1,0,0
6,doctor,1,1,0,0
6,systems analyst,1,0,1,0
6,judge,1,1,0,0
6,research scientist,1,1,0,0
6,professor,1,1,0,0
6,income tax preparer,1,1,0,0
6,chef,1,1,0,0
6,executive,1,1,0,0
6,radio technician,1,0,1,0
6,chiropractor,1,1,0,0
6,landscaper,1,1,0,0
6,tailor,1,0,1,0
6,bartender,1,1,0,0
6,surgeon,1,1,0,0
6,computer programmer,1,0,1,0
6,movie director,1,1,0,0
6,painter,1,1,0,0
6,dentist,1,1,0,0
6,groundskeeper,1,1,0,0
6,architect,1,1,0,0
6,stock broker,1,0,1,0
6,police officer,1,0,1,0
6,janitor,1,0,1,0
6,coach,1,1,0,0
6,rancher,1,0,1,0
6,probation officer,1,1,0,0
6,bell hop,1,0,1,0
6,pilot,1,1,0,0
6,drafting worker,1,1,0,0
6,highway worker,1,1,0,0
6,stone cutter,1,0,1,0
6,logger,1,0,1,0
6,private detective,1,1,0,0
6,electrician,1,0,1,0
6,fire fighter,1,1,0,0
6,butcher,1,0,1,0
6,guard,1,0,1,0
6,plumber,1,0,1,0
6,farmer,1,0,1,0
6,carpenter,1,0,1,0
6,trucker,1,0,1,0
6,barber,1,0,1,0
6,construction worker,1,1,0,0
6,roofer,1,0,1,0
6,auto mechanic,1,0,1,0
6,heavy equipment operator,1,0,1,0
7,cosmetologist,1,1,0,0
7,manicurist,1,1,0,0
7,secretary,1,1,0,0
7,hairdresser,1,1,0,0
7,flight attendant,1,1,0,0
7,dress maker,1,1,0,0
7,receptionist,1,1,0,0
7,florist,1,1,0,0
7,housekeeper,1,1,0,0
7,child care worker,1,1,0,0
7,kindergarten teacher,1,1,0,0
7,interior decorator,1,1,0,0
7,registered nurse,1,1,0,0
7,elementary school teacher,1,1,0,0
7,librarian,1,1,0,0
7,cake decorator,1,1,0,0
7,dietician,1,1,0,0
7,exercise instructor,1,1,0,0
7,nutritionist,1,1,0,0
7,hair cutter,1,1,0,0
7,physician's assistant,1,1,0,0
7,massage therapist,1,1,0,0
7,bookkeeper,1,1,0,0
7,high school teacher,1,1,0,0
7,travel agent,1,1,0,0
7,guidance counselor,1,1,0,0
7,dental hygienist,1,1,0,0
7,real estate agent,1,1,0,0
7,counseling psychologist,1,1,0,0
7,baker,1,1,0,0
7,school psychologist,1,1,0,0
7,occupational therapist,1,1,0,0
7,cashier,1,1,0,0
7,reporter,1,1,0,0
7,server,1,1,0,0
7,clinical psychologist,1,1,0,0
7,animal caretaker,1,1,0,0
7,paralegal,1,1,0,0
7,physical therapist,1,1,0,0
7,singer,1,0,1,0
7,artist,1,1,0,0
7,veterinarian,1,1,0,0
7,cook,1,1,0,0
7,author,1,1,0,0
7,photographer,1,1,0,0
7,tour guide,1,1,0,0
7,journalist,1,1,0,0
7,phlebotomist,1,1,0,0
7,writer,1,1,0,0
7,emergency medical care,1,1,0,0
7,graphic designer,1,1,0,0
7,accountant,1,0,1,0
7,lawyer,1,1,0,0
7,concierge,1,1,0,0
7,forensic psychologist,1,1,0,0
7,salesperson,1,1,0,0
7,editor,1,1,0,0
7,insurance agent,1,1,0,0
7,theatrical director,1,1,0,0
7,pharmacist,1,0,1,0
7,doctor,1,1,0,0
7,systems analyst,1,1,0,0
7,judge,1,0,1,0
7,research scientist,1,1,0,0
7,professor,1,0,1,0
7,income tax preparer,1,1,0,0
7,chef,1,0,1,0
7,executive,1,1,0,0
7,radio technician,1,0,1,0
7,chiropractor,1,1,0,0
7,landscaper,1,1,0,0
7,tailor,1,0,1,0
7,bartender,1,0,1,0
7,surgeon,1,1,0,0
7,computer programmer,1,0,1,0
7,movie director,1,0,1,0
7,painter,1,1,0,0
7,dentist,1,1,0,0
7,groundskeeper,1,0,1,0
7,architect,1,1,0,0
7,stock broker,1,1,0,0
7,police officer,1,1,0,0
7,janitor,1,0,1,0
7,coach,1,1,0,0
7,rancher,1,0,1,0
7,probation officer,1,1,0,0
7,bell hop,1,0,1,0
7,pilot,1,1,0,0
7,drafting worker,1,0,1,0
7,highway worker,1,1,0,0
7,stone cutter,1,1,0,0
7,logger,1,0,1,0
7,private detective,1,1,0,0
7,electrician,1,0,1,0
7,fire fighter,1,1,0,0
7,butcher,1,0,1,0
7,guard,1,0,1,0
7,plumber,1,0,1,0
7,farmer,1,1,0,0
7,carpenter,1,0,1,0
7,trucker,1,1,0,0
7,barber,1,0,1,0
7,construction worker,1,1,0,0
7,roofer,1,0,1,0
7,auto mechanic,1,0,1,0
7,heavy equipment operator,1,1,0,0
8,cosmetologist,1,1,0,0
8,manicurist,1,1,0,0
8,secretary,1,1,0,0
8,hairdresser,1,1,0,0
8,flight attendant,1,1,0,0
8,dress maker,1,1,0,0
8,receptionist,1,1,0,0
8,florist,1,1,0,0
8,housekeeper,1,1,0,0
8,child care worker,1,1,0,0
8,kindergarten teacher,1,1,0,0
8,interior decorator,1,1,0,0
8,registered nurse,1,1,0,0
8,elementary school teacher,1,1,0,0
8,librarian,1,1,0,0
8,cake decorator,1,1,0,0
8,dietician,1,1,0,0
8,exercise instructor,1,1,0,0
8,nutritionist,1,1,0,0
8,hair cutter,1,1,0,0
8,physician's assistant,1,0,1,0
8,massage therapist,1,1,0,0
8,bookkeeper,1,1,0,0
8,high school teacher,1,1,0,0
8,travel agent,1,1,0,0
8,guidance counselor,1,1,0,0
8,dental hygienist,1,1,0,0
8,real estate agent,1,1,0,0
8,counseling psychologist,1,1,0,0
8,baker,1,1,0,0
8,school psychologist,1,1,0,0
8,occupational therapist,1,1,0,0
8,cashier,1,1,0,0
8,reporter,1,1,0,0
8,server,1,1,0,0
8,clinical psychologist,1,1,0,0
8,animal caretaker,1,1,0,0
8,paralegal,1,1,0,0
8,physical therapist,1,1,0,0
8,singer,1,1,0,0
8,artist,1,1,0,0
8,veterinarian,1,1,0,0
8,cook,1,1,0,0
8,author,1,1,0,0
8,photographer,1,1,0,0
8,tour guide,1,1,0,0
8,journalist,1,1,0,0
8,phlebotomist,1,1,0,0
8,writer,1,1,0,0
8,emergency medical care,1,1,0,0
8,graphic designer,1,1,0,0
8,accountant,1,1,0,0
8,lawyer,1,1,0,0
8,concierge,1,1,0,0
8,forensic psychologist,1,1,0,0
8,salesperson,1,1,0,0
8,editor,1,1,0,0
8,insurance agent,1,1,0,0
8,theatrical director,1,1,0,0
8,pharmacist,1,1,0,0
8,doctor,1,1,0,0
8,systems analyst,1,0,1,0
8,judge,1,1,0,0
8,research scientist,1,1,0,0
8,professor,1,1,0,0
8,income tax preparer,1,1,0,0
8,chef,1,1,0,0
8,executive,1,0,1,0
8,radio technician,1,1,0,0
8,chiropractor,1,0,1,0
8,landscaper,1,1,0,0
8,tailor,1,1,0,0
8,bartender,1,1,0,0
8,surgeon,1,0,1,0
8,computer programmer,1,1,0,0
8,movie director,1,1,0,0
8,painter,1,0,1,0
8,dentist,1,1,0,0
8,groundskeeper,1,1,0,0
8,architect,1,1,0,0
8,stock broker,1,0,1,0
8,police officer,1,1,0,0
8,janitor,1,0,1,0
8,coach,1,1,0,0
8,rancher,1,0,1,0
8,probation officer,1,1,0,0
8,bell hop,1,0,1,0
8,pilot,1,1,0,0
8,drafting worker,1,1,0,0
8,highway worker,1,1,0,0
8,stone cutter,1,0,1,0
8,logger,1,0,1,0
8,private detective,1,1,0,0
8,electrician,1,0,1,0
8,fire fighter,1,1,0,0
8,butcher,1,0,1,0
8,guard,1,1,0,0
8,plumber,1,0,1,0
8,farmer,1,1,0,0
8,carpenter,1,0,1,0
8,trucker,1,0,1,0
8,barber,1,0,1,0
8,construction worker,1,0,1,0
8,roofer,1,0,1,0
8,auto mechanic,1,0,1,0
8,heavy equipment operator,1,1,0,0
9,cosmetologist,1,1,0,0
9,manicurist,1,1,0,0
9,secretary,1,1,0,0
9,hairdresser,1,1,0,0
9,flight attendant,1,1,0,0
9,dress maker,1,1,0,0
9,receptionist,1,1,0,0
9,florist,1,1,0,0
9,housekeeper,1,1,0,0
9,child care worker,1,1,0,0
9,kindergarten teacher,1,1,0,0
9,interior decorator,1,1,0,0
9,registered nurse,1,1,0,0
9,elementary school teacher,1,1,0,0
9,librarian,1,1,0,0
9,cake decorator,1,1,0,0
9,dietician,1,1,0,0
9,exercise instructor,1,1,0,0
9,nutritionist,1,1,0,0
9,hair cutter,1,1,0,0
9,physician's assistant,1,1,0,0
9,massage therapist,1,1,0,0
9,bookkeeper,1,1,0,0
9,high school teacher,1,1,0,0
9,travel agent,1,1,0,0
9,guidance counselor,1,1,0,0
9,dental hygienist,1,1,0,0
9,real estate agent,1,1,0,0
9,counseling psychologist,1,1,0,0
9,baker,1,1,0,0
9,school psychologist,1,1,0,0
9,occupational therapist,1,1,0,0
9,cashier,1,1,0,0
9,reporter,1,1,0,0
9,server,1,0,1,0
9,clinical psychologist,1,1,0,0
9,animal caretaker,1,1,0,0
9,paralegal,1,1,0,0
9,physical therapist,1,1,0,0
9,singer,1,1,0,0
9,artist,1,1,0,0
9,veterinarian,1,1,0,0
9,cook,1,0,1,0
9,author,1,1,0,0
9,photographer,1,1,0,0
9,tour guide,1,1,0,0
9,journalist,1,1,0,0
9,phlebotomist,1,1,0,0
9,writer,1,0,1,0
9,emergency medical care,1,1,0,0
9,graphic designer,1,1,0,0
9,accountant,1,1,0,0
9,lawyer,1,0,1,0
9,concierge,1,1,0,0
9,forensic psychologist,1,1,0,0
9,salesperson,1,1,0,0
9,editor,1,1,0,0
9,insurance agent,1,1,0,0
9,theatrical director,1,1,0,0
9,pharmacist,1,1,0,0
9,doctor,1,1,0,0
9,systems analyst,1,0,1,0
9,judge,1,1,0,0
9,research scientist,1,1,0,0
9,professor,1,1,0,0
9,income tax preparer,1,1,0,0
9,chef,1,0,1,0
9,executive,1,1,0,0
9,radio technician,1,0,1,0
9,chiropractor,1,1,0,0
9,landscaper,1,1,0,0
9,tailor,1,0,1,0
9,bartender,1,0,1,0
9,surgeon,1,1,0,0
9,computer programmer,1,1,0,0
9,movie director,1,1,0,0
9,painter,1,1,0,0
9,dentist,1,1,0,0
9,groundskeeper,1,0,1,0
